평가자 별칭,소속 팀,평가 대상 팀원 별칭,역할 수행 및 책임감,프로젝트 기여도,일정 및 약속 준수,의사소통 및 협업,문제 해결 및 적극성
데이비드 베컴,시드니팀,마이클 조던,5,5,5,5,5
엠마 왓슨,토론토팀,테일러 스위프트,4,5,4,4,4
알베르트 아인슈타인,토론토팀,테일러 스위프트,5,3,5,2,3
리오넬 메시,파리팀,오드리 헵번,5,5,5,5,5
우사인 볼트,서울팀,프리다 칼로,2,2,3,3,3
스티브 잡스,시드니팀,아델,3,3,3,3,3
일론 머스크,시드니팀,아델,5,5,5,5,5
데이비드 베컴,시드니팀,일론 머스크,5,5,5,5,5
아델,시드니팀,일론 머스크,4,4,5,5,5
엠마 왓슨,파리팀,무하마드 알리,5,5,5,5,5
세레나 윌리엄스,서울팀,이소룡,1,1,1,3,2
프리다 칼로,서울팀,비욘세,4,3,3,3,4
오프라 윈프리,파리팀,레오나르도 다빈치,5,5,5,5,5
프리다 칼로,서울팀,찰리 채플린,5,5,5,5,5
우사인 볼트,서울팀,찰리 채플린,5,5,5,5,5
리오넬 메시,파리팀,레오나르도 다빈치,5,5,5,5,5
마이클 조던,시드니팀,스티브 잡스,5,5,5,5,5
오프라 윈프리,파리팀,리오넬 메시,5,,5,5,5
데이비드 베컴,시드니팀,크리스티아누 호날두,5,5,5,5,5
오드리 헵번,파리팀,넬슨 만델라,5,5,4,5,5
